machine_id,temperature,vibration,pressure,rotational_speed,failure
52,76.94,1.5017,97.94,1471.96,0
93,45.22,0.018,86.56,1619.62,0
15,89.1,0.685,98.16,2042.0,0
72,69.16,0.5147,95.7,1654.16,0
61,55.94,0.1435,83.46,984.5,0
21,68.42,0.3539,107.97,1920.7,0
83,46.47,0.0694,94.04,1949.06,0
87,56.25,1.0263,97.31,1871.18,0
75,77.14,0.2215,70.79,1097.19,0
75,78.4,0.4918,97.49,1616.06,0
88,79.6,0.0864,96.41,1807.61,0
100,75.05,0.1154,83.49,1504.79,0
24,64.61,2.4114,110.63,1614.3,0
3,74.18,0.6994,57.84,1667.99,0
22,68.44,1.6347,90.36,1252.08,0
53,50.61,0.1754,106.2,1641.0,0
2,63.41,0.0899,141.97,1204.31,0
88,88.34,0.3497,72.69,1469.19,0
30,98.82,0.3413,101.77,1327.05,0
38,84.77,0.0962,110.96,1762.62,0
2,98.16,0.6607,101.27,1700.65,0
64,76.28,0.2245,75.35,1670.21,0
60,101.14,0.1031,90.33,1584.57,0
21,105.82,0.2017,51.17,1630.78,0
33,49.0,0.4147,100.08,2102.65,0
76,78.32,0.6482,71.68,1897.3,0
58,76.3,0.3288,109.11,1211.52,0
22,68.64,0.3728,86.93,1339.76,0
89,82.38,0.0748,85.05,1437.41,0
49,75.62,1.2307,103.33,1427.3,0
91,63.97,1.3206,105.21,1251.91,0
59,74.6,0.5751,117.43,1676.01,0
42,93.07,0.0089,94.77,1481.68,0
92,77.74,0.3851,97.88,1565.26,0
60,84.4,0.4961,72.27,987.2,0
80,70.84,2.6157,128.97,1028.15,0
15,81.78,2.7692,81.31,1337.64,1
62,56.86,0.9746,114.5,1682.39,0
62,67.5,0.033,114.64,1643.41,0
47,73.46,1.5318,108.0,1802.25,0
62,55.85,0.4742,95.25,1289.78,0
51,62.55,0.8069,92.75,1705.7,0
55,79.7,0.2614,98.72,1959.07,0
64,76.95,0.1926,61.92,1777.98,0
3,87.1,0.3111,99.48,1112.29,0
51,65.99,0.0794,129.72,1832.35,0
7,75.86,0.2209,95.48,1597.89,0
21,64.92,0.9746,99.35,1636.24,0
73,85.59,0.0193,79.52,2248.67,0
39,92.86,0.0818,103.71,1573.98,0
18,82.25,0.0668,84.44,1689.36,0
4,90.92,0.258,117.0,1528.14,0
89,75.49,2.9024,122.83,1427.02,0
60,87.08,0.0952,127.19,1609.37,0
14,76.13,0.0786,71.13,1368.86,0
9,59.63,1.2329,114.45,1543.65,0
90,78.7,1.0687,112.94,1409.49,0
53,60.07,0.0164,91.7,876.49,0
2,110.09,0.6966,123.85,1352.48,0
84,69.99,0.5328,108.29,1786.66,0
92,84.68,0.73,127.46,1655.93,0
60,74.81,0.3411,74.65,1429.72,0
71,56.5,2.3768,85.72,1529.57,0
44,46.52,0.0224,101.87,1258.36,0
8,86.24,0.1335,123.45,1290.65,1
47,98.24,0.2525,109.1,1502.0,0
35,63.98,0.2987,81.03,1435.27,0
78,50.15,1.2715,135.53,1273.93,0
81,70.12,0.4105,94.11,1479.99,0
36,60.94,0.0231,81.67,1166.2,0
50,65.25,0.262,84.5,1972.26,0
4,84.16,0.2693,73.36,1768.68,0
2,74.24,1.6833,55.05,848.51,0
6,62.56,0.4571,97.67,1751.58,0
54,83.83,0.5048,68.91,1388.14,0
4,85.0,0.6246,106.27,1335.99,0
54,69.94,0.7349,119.69,1725.9,0
93,77.07,0.504,107.53,1457.08,0
63,82.81,0.1354,100.88,1383.86,0
18,81.39,1.0359,69.18,1101.41,0
90,75.61,0.6586,116.92,1774.67,0
44,96.49,0.6771,138.93,1810.95,0
34,83.74,2.8357,128.17,1548.39,0
74,68.24,0.8111,73.39,1150.24,0
62,68.33,0.8835,98.44,1590.78,0
100,66.63,1.5121,94.35,1692.32,0
14,84.48,0.0819,92.04,1492.04,0
95,65.66,0.3443,100.54,1764.47,0
48,68.63,0.4344,143.3,1550.86,0
15,90.87,0.1997,102.15,1591.23,0
72,77.87,0.9144,91.11,1944.14,0
78,92.98,0.7186,105.96,1352.45,0
87,86.97,0.6381,73.73,1029.58,0
62,57.35,2.9301,85.68,1449.29,0
40,73.47,0.1501,119.72,1330.87,0
85,89.85,0.6649,103.77,1073.44,0
80,56.67,0.4008,142.03,1686.56,0
82,81.3,0.1877,105.35,1500.25,0
53,74.41,0.0875,75.08,953.65,0
24,48.68,1.1311,68.3,1963.85,0
26,76.79,0.4525,120.03,1281.63,0
89,62.44,0.8713,79.17,1315.24,0
60,57.49,0.3941,77.38,1782.47,0
41,75.14,0.1242,89.7,1628.46,0
29,46.04,0.2059,119.93,1827.56,0
15,64.89,0.2403,92.65,846.0,0
45,113.27,1.8048,83.17,1414.19,0
65,84.75,0.0028,124.25,1540.16,0
89,61.78,2.1226,120.84,1890.46,0
71,96.06,1.9677,133.34,1246.6,0
9,60.12,2.7799,127.03,1397.81,0
88,66.69,0.3237,121.18,1542.24,0
1,57.77,1.6595,84.98,1728.42,0
8,78.84,0.2518,113.18,1167.21,0
88,95.53,0.0133,124.29,1743.49,0
63,60.01,0.127,137.12,1322.97,0
11,44.09,1.4529,103.42,1612.6,0
81,91.36,0.0069,90.16,1442.1,0
8,98.31,0.3948,82.32,1582.49,0
35,45.07,0.0393,119.59,1563.63,0
35,81.9,0.1687,86.67,1883.1,0
33,78.4,0.0461,102.14,1429.31,0
5,63.19,0.9814,82.39,1409.29,0
41,54.08,0.4471,96.82,1820.52,0
28,89.88,1.1619,108.78,1920.09,0
7,77.69,0.5829,105.39,1381.12,0
73,78.82,1.7707,114.76,1707.7,0
72,65.67,0.3566,72.52,1243.84,0
12,62.97,0.509,97.67,1709.45,0
34,38.18,0.4294,90.6,1776.03,0
33,71.58,0.3311,80.35,1417.44,0
48,96.58,0.9353,85.01,1833.25,0
23,61.65,0.5172,82.12,1421.19,0
62,52.16,0.808,107.0,1507.21,1
88,81.53,0.7717,108.0,1617.34,0
37,84.3,0.106,117.51,1211.97,0
99,66.21,0.5251,106.56,1092.33,0
44,69.77,0.1114,103.18,1583.94,0
86,78.96,0.4377,101.58,1277.42,0
91,72.67,0.5657,113.51,1133.78,0
35,90.0,2.9454,57.86,1730.7,0
65,111.56,0.0155,98.82,1955.05,0
99,49.36,0.0478,106.34,1757.18,0
47,93.45,0.0401,135.79,1144.62,0
78,76.58,0.254,77.77,1553.48,1
3,95.82,0.8618,77.06,1407.16,0
1,85.87,0.9291,54.58,1244.15,0
5,75.92,0.6678,72.18,1525.54,0
90,86.4,1.1359,96.97,1479.74,0
14,69.09,0.1949,85.52,1430.2,0
27,63.39,0.0461,85.09,1796.43,0
9,87.16,0.03,100.46,1889.96,0
79,62.34,0.9557,111.65,1403.02,0
15,84.64,0.6555,100.25,1446.18,0
90,75.46,0.5997,100.53,1425.74,0
42,40.06,0.2075,108.07,1654.48,0
77,66.38,0.2389,63.35,1599.43,0
51,80.02,1.5864,102.58,1287.12,0
63,68.91,0.033,98.5,1461.37,0
96,36.8,0.743,99.86,1050.92,0
52,94.81,0.1853,88.32,1028.57,0
96,77.54,0.0199,95.89,1145.76,0
4,81.66,0.6785,108.05,1424.57,0
94,67.9,0.2009,132.18,1683.36,0
23,82.97,0.6403,66.17,1265.26,1
15,102.52,0.6149,111.44,1462.17,0
43,63.97,0.3826,124.36,1565.61,0
29,100.01,0.7511,74.59,1960.79,0
36,80.98,0.435,96.41,1516.75,0
13,61.96,0.1689,105.52,1530.13,0
32,108.19,0.6623,140.18,1318.41,0
71,80.87,0.4448,143.47,2051.01,0
59,85.15,0.0064,74.59,1729.37,0
86,70.96,1.1596,93.96,1166.66,0
28,63.06,0.3944,103.99,1949.41,0
66,77.52,1.0149,111.13,1715.04,0
42,98.72,1.0717,104.02,1570.19,0
45,70.36,0.2944,81.04,1698.09,0
62,74.6,0.3543,80.15,1840.75,0
57,96.84,0.2687,69.17,1274.09,0
6,70.5,0.2984,59.59,1383.11,0
28,82.65,1.1276,68.72,1488.47,0
28,88.16,0.7759,123.23,1128.0,0
44,72.05,0.0676,114.21,1718.81,0
84,79.65,0.4712,111.07,1417.37,0
30,84.92,2.7492,95.55,1384.3,0
62,68.99,0.4526,99.17,1307.11,0
75,87.24,0.7706,94.63,1489.78,0
92,66.8,0.7328,68.26,1546.73,0
89,64.87,0.2156,112.95,1798.82,0
62,52.09,0.2325,117.05,1807.24,0
97,67.45,0.6438,76.99,1159.9,0
1,62.77,0.3466,76.98,1638.17,0
27,68.99,0.4226,107.04,1868.97,0
62,84.18,0.624,106.86,1433.21,0
77,49.11,0.7516,114.65,1449.02,0
3,45.38,0.1584,128.27,1380.97,0
70,63.76,0.0794,78.84,1661.47,0
72,81.92,0.1725,98.36,1586.2,0
27,79.33,0.3542,79.99,1793.89,0
9,63.52,0.2094,81.43,1466.64,0
62,92.54,0.4201,91.4,1878.0,0
37,65.12,0.0275,128.81,1679.25,0
97,81.94,0.3564,122.1,1852.9,0
51,69.56,0.2294,98.5,1321.25,0
44,61.97,0.3825,56.88,1970.29,0
24,65.92,0.2746,107.86,1333.35,1
79,86.01,0.1672,107.39,1347.41,0
59,80.42,1.1723,81.33,1381.9,0
32,89.52,0.1021,116.61,1349.91,0
96,80.41,0.5719,80.94,2068.07,0
88,50.83,1.2928,116.55,1656.55,0
52,106.72,0.3868,104.82,1648.76,0
62,80.63,1.0454,70.8,932.55,0
58,82.72,0.0667,92.77,1885.65,0
52,69.35,0.3404,102.89,1188.46,0
12,91.7,0.3053,106.0,1489.09,0
39,58.6,0.0041,120.66,1288.74,0
2,84.15,0.2928,123.16,1571.9,0
3,43.81,0.2302,95.23,1960.22,0
56,85.16,0.554,111.19,1211.57,0
81,58.81,1.393,132.16,1284.32,0
59,79.15,0.0448,79.63,1541.87,0
2,95.36,0.1984,87.84,1971.0,1
2,87.34,0.2936,66.9,1372.62,0
92,93.37,0.3037,87.37,1285.13,0
54,91.81,0.7454,104.12,1549.17,0
87,67.14,0.293,57.68,1502.25,0
96,83.97,0.0138,108.74,1192.5,0
97,49.13,0.6191,90.55,1378.4,0
1,64.7,1.0807,98.75,909.61,0
19,95.89,0.3607,76.62,1490.88,0
2,69.22,0.4351,97.95,1126.22,0
53,46.98,0.0889,133.58,2240.69,0
44,105.21,0.1246,92.0,1666.45,0
90,83.43,0.1341,55.74,1576.13,0
32,86.47,0.2817,124.28,1658.09,0
70,60.29,1.3166,110.85,1352.59,0
32,79.26,0.3688,101.88,1457.35,0
68,78.86,0.1067,111.36,1651.62,0
55,62.68,0.1547,101.65,1207.23,0
75,72.45,0.2423,132.87,1704.93,0
56,52.49,0.4881,115.04,2132.14,0
17,69.8,0.2899,90.87,1056.03,0
38,89.61,0.2492,129.84,1659.83,0
24,63.8,0.4159,136.4,1254.47,0
69,103.61,0.1384,118.21,1707.28,0
98,53.46,0.0411,108.14,1601.67,0
70,71.1,0.0124,82.92,2063.88,0
86,65.15,0.1447,113.71,2010.46,0
11,72.3,0.048,107.76,1065.57,0
16,95.57,0.205,99.46,1729.27,0
97,60.23,0.7413,113.99,1724.12,0
73,68.23,0.6299,101.74,1856.68,0
59,84.82,0.472,110.98,1641.72,0
70,76.4,0.957,120.72,1678.96,0
80,77.63,0.1657,73.38,1190.22,0
93,60.52,1.0816,79.51,1626.59,0
3,73.93,0.2548,81.76,1435.03,0
20,91.97,0.2562,138.8,1705.09,0
59,50.86,0.2599,112.67,1471.65,0
36,64.54,0.0516,114.53,1634.16,0
19,47.77,1.8543,122.59,1684.84,0
90,83.05,0.0745,79.07,1690.5,0
67,93.38,0.2084,59.23,1276.86,0
19,72.25,0.1923,98.74,2225.63,0
20,59.92,0.0388,117.95,1576.16,0
96,60.36,0.0826,96.05,1689.52,0
71,70.54,0.0229,72.6,1517.7,0
52,70.49,0.1729,81.9,1167.53,0
33,88.68,1.0074,76.41,1734.86,0
40,64.97,0.2073,87.75,1580.51,0
39,81.53,0.066,76.81,1766.64,0
82,70.42,0.5188,102.94,1300.53,0
1,63.83,2.8421,89.05,1400.31,0
11,70.04,0.1322,112.67,1580.36,0
92,80.05,0.164,80.47,1514.48,0
57,88.72,1.7851,105.11,1414.15,0
89,71.22,0.0985,99.25,1580.65,0
50,56.94,0.3579,107.92,1928.94,0
23,90.0,0.137,110.73,1637.35,0
31,61.53,1.3467,112.87,1851.9,0
94,78.91,1.9956,116.62,1449.65,0
42,74.63,0.8429,110.85,1516.36,0
99,72.62,0.189,105.96,1572.94,0
7,67.7,0.2583,86.67,1366.66,0
16,84.3,0.1387,117.01,1575.48,0
90,30.0,1.1071,86.06,1970.35,0
60,92.05,1.23,94.16,2023.31,0
2,61.31,0.2714,82.77,1912.57,0
1,81.12,0.5343,82.35,1591.71,0
48,80.33,0.0905,93.66,1284.26,0
12,94.12,0.2854,95.34,2234.09,0
69,77.97,0.4992,83.73,1345.84,0
37,62.56,0.2434,100.44,1957.32,0
32,50.93,0.2213,103.14,1609.79,0
9,69.77,0.0005,89.1,1190.11,1
99,45.63,0.8156,145.79,1055.45,0
19,65.57,1.1006,106.65,1917.14,0
48,70.61,1.7444,102.37,1327.72,0
80,64.65,0.6352,86.48,1122.01,0
3,75.63,0.3979,102.76,1419.37,0
20,71.46,0.1569,104.82,1498.48,0
24,70.08,3.6318,99.93,1611.29,0
54,38.64,0.4455,128.37,1595.76,0
33,55.58,0.5715,65.97,1280.25,0
24,84.64,0.5735,92.39,1500.48,0
75,87.06,0.933,114.28,2015.25,0
72,47.42,0.0049,82.07,1184.24,1
36,62.78,0.1244,69.07,1641.28,1
38,91.08,0.5476,89.62,1183.81,0
84,64.23,1.1276,120.88,1376.51,0
99,73.33,0.5781,82.54,1839.72,0
89,96.63,0.2668,92.87,889.99,0
99,69.58,0.2244,108.43,2129.43,0
25,67.43,0.6696,88.41,1112.0,0
93,72.64,0.6759,91.2,897.17,0
18,102.8,0.467,86.96,1505.82,0
82,81.69,0.1723,88.64,1371.3,0
66,75.29,1.2962,76.74,1314.45,0
54,67.13,0.4013,94.85,1692.45,0
35,83.08,0.7815,121.28,1222.31,0
80,84.9,0.1206,131.66,1670.94,0
61,58.9,0.2108,125.0,1748.18,1
41,85.3,1.038,102.75,1088.34,0
100,72.73,0.0257,133.18,1807.94,0
33,75.37,0.359,146.06,1731.97,0
68,61.74,0.3286,103.63,1965.74,0
33,69.0,0.6956,80.19,1501.61,0
