machine_id,temperature,vibration,pressure,rotational_speed,failure,temperature_rolling_mean,temperature_rolling_std,vibration_rolling_mean,vibration_rolling_std,pressure_rolling_mean,pressure_rolling_std,high_vibration
52,76.94,1.5017,97.94,1471.96,0,76.94,,1.5017,,97.94,,1
93,45.22,0.018,86.56,1619.62,0,45.22,,0.018,,86.56,,0
15,89.1,0.685,98.16,2042.0,0,89.1,,0.685,,98.16,,0
72,69.16,0.5147,95.7,1654.16,0,69.16,,0.5147,,95.7,,0
61,55.94,0.1435,83.46,984.5,0,55.94,,0.1435,,83.46,,0
21,68.42,0.3539,107.97,1920.7,0,68.42,,0.3539,,107.97,,0
83,46.47,0.0694,94.04,1949.06,0,46.47,,0.0694,,94.04,,0
87,56.25,1.0263,97.31,1871.18,0,56.25,,1.0263,,97.31,,1
75,77.14,0.2215,70.79,1097.19,0,77.14,,0.2215,,70.79,,0
75,78.4,0.4918,97.49,1616.06,0,77.77000000000001,0.8909545442950485,0.35665,0.1911309629547238,84.14,18.87975105768081,0
88,79.6,0.0864,96.41,1807.61,0,79.6,,0.0864,,96.41,,0
100,75.05,0.1154,83.49,1504.79,0,75.05,,0.1154,,83.49,,0
24,64.61,2.4114,110.63,1614.3,0,64.61,,2.4114,,110.63,,1
3,74.18,0.6994,57.84,1667.99,0,74.18,,0.6994,,57.84,,1
22,68.44,1.6347,90.36,1252.08,0,68.44,,1.6347,,90.36,,1
53,50.61,0.1754,106.2,1641.0,0,50.61,,0.1754,,106.2,,0
2,63.41,0.0899,141.97,1204.31,0,63.41,,0.0899,,141.97,,0
88,88.34,0.3497,72.69,1469.19,0,83.97,6.180113267570432,0.21805000000000002,0.18618121548641797,84.55,16.772572849744908,0
30,98.82,0.3413,101.77,1327.05,0,98.82,,0.3413,,101.77,,0
38,84.77,0.0962,110.96,1762.62,0,84.77,,0.0962,,110.96,,0
2,98.16,0.6607,101.27,1700.65,0,80.785,24.571960646232526,0.37529999999999997,0.40361655070128133,121.62,28.77924599429249,0
64,76.28,0.2245,75.35,1670.21,0,76.28,,0.2245,,75.35,,0
60,101.14,0.1031,90.33,1584.57,0,101.14,,0.1031,,90.33,,0
21,105.82,0.2017,51.17,1630.78,0,87.12,26.445793616376868,0.2778,0.10762165209659254,79.57,40.16366517139589,0
33,49.0,0.4147,100.08,2102.65,0,49.0,,0.4147,,100.08,,0
76,78.32,0.6482,71.68,1897.3,0,78.32,,0.6482,,71.68,,0
58,76.3,0.3288,109.11,1211.52,0,76.3,,0.3288,,109.11,,0
22,68.64,0.3728,86.93,1339.76,0,68.53999999999999,0.14142135623731653,1.0037500000000001,0.8922980471793044,88.64500000000001,2.4253762594698576,0
89,82.38,0.0748,85.05,1437.41,0,82.38,,0.0748,,85.05,,0
49,75.62,1.2307,103.33,1427.3,0,75.62,,1.2307,,103.33,,1
91,63.97,1.3206,105.21,1251.91,0,63.97,,1.3206,,105.21,,1
59,74.6,0.5751,117.43,1676.01,0,74.6,,0.5751,,117.43,,0
42,93.07,0.0089,94.77,1481.68,0,93.07,,0.0089,,94.77,,0
92,77.74,0.3851,97.88,1565.26,0,77.74,,0.3851,,97.88,,0
60,84.4,0.4961,72.27,987.2,0,92.77000000000001,11.836967517062806,0.2996,0.27789296500631316,81.3,12.77034846822905,0
80,70.84,2.6157,128.97,1028.15,0,70.84,,2.6157,,128.97,,1
15,81.78,2.7692,81.31,1337.64,1,85.44,5.176021638285523,1.7271,1.4737519533490024,89.735,11.914749262993322,1
62,56.86,0.9746,114.5,1682.39,0,56.86,,0.9746,,114.5,,1
62,67.5,0.033,114.64,1643.41,0,62.18,7.523616151824866,0.5038,0.6658117451652531,114.57,0.09899494936612208,0
47,73.46,1.5318,108.0,1802.25,0,73.46,,1.5318,,108.0,,1
62,55.85,0.4742,95.25,1289.78,0,60.07,6.454355118832554,0.49393333333333334,0.4711100649883563,108.13,11.154626842705223,0
51,62.55,0.8069,92.75,1705.7,0,62.55,,0.8069,,92.75,,1
55,79.7,0.2614,98.72,1959.07,0,79.7,,0.2614,,98.72,,0
64,76.95,0.1926,61.92,1777.98,0,76.61500000000001,0.473761543394983,0.20855,0.022556706319850885,68.63499999999999,9.496444071335324,0
3,87.1,0.3111,99.48,1112.29,0,80.64,9.135819612930186,0.50525,0.2745695631347364,78.66,29.443926368607844,0
51,65.99,0.0794,129.72,1832.35,0,64.27,2.432447327281722,0.44315,0.5144201833132133,111.235,26.141737700466663,0
7,75.86,0.2209,95.48,1597.89,0,75.86,,0.2209,,95.48,,0
21,64.92,0.9746,99.35,1636.24,0,79.72,22.67090646621788,0.5100666666666667,0.4094320741384746,86.16333333333334,30.610065882538265,1
73,85.59,0.0193,79.52,2248.67,0,85.59,,0.0193,,79.52,,0
39,92.86,0.0818,103.71,1573.98,0,92.86,,0.0818,,103.71,,0
18,82.25,0.0668,84.44,1689.36,0,82.25,,0.0668,,84.44,,0
4,90.92,0.258,117.0,1528.14,0,90.92,,0.258,,117.0,,0
89,75.49,2.9024,122.83,1427.02,0,78.935,4.871965722375318,1.4886000000000001,1.9994151344830817,103.94,26.714494193227768,1
60,87.08,0.0952,127.19,1609.37,0,90.87333333333333,8.991603490664687,0.23146666666666663,0.22921322678530864,96.59666666666665,27.991158127761228,0
14,76.13,0.0786,71.13,1368.86,0,76.13,,0.0786,,71.13,,0
9,59.63,1.2329,114.45,1543.65,0,59.63,,1.2329,,114.45,,1
90,78.7,1.0687,112.94,1409.49,0,78.7,,1.0687,,112.94,,1
53,60.07,0.0164,91.7,876.49,0,55.34,6.689230150024738,0.0959,0.11242997820866106,98.95,10.253048327204938,0
2,110.09,0.6966,123.85,1352.48,0,90.55333333333333,24.251837731053158,0.4824,0.3403885867651852,122.36333333333333,20.390687416890426,1
84,69.99,0.5328,108.29,1786.66,0,69.99,,0.5328,,108.29,,0
92,84.68,0.73,127.46,1655.93,0,81.21000000000001,4.907321061434644,0.55755,0.24388112883124022,112.66999999999999,20.91621858749808,1
60,74.81,0.3411,74.65,1429.72,0,86.8575,10.881496144066466,0.25887499999999997,0.1950145357830197,91.11,25.352527816110698,0
71,56.5,2.3768,85.72,1529.57,0,56.5,,2.3768,,85.72,,1
44,46.52,0.0224,101.87,1258.36,0,46.52,,0.0224,,101.87,,0
8,86.24,0.1335,123.45,1290.65,1,86.24,,0.1335,,123.45,,0
47,98.24,0.2525,109.1,1502.0,0,85.85,17.522106037802647,0.89215,0.9046017051719503,108.55,0.7778174593051983,0
35,63.98,0.2987,81.03,1435.27,0,63.98,,0.2987,,81.03,,0
78,50.15,1.2715,135.53,1273.93,0,50.15,,1.2715,,135.53,,1
81,70.12,0.4105,94.11,1479.99,0,70.12,,0.4105,,94.11,,0
36,60.94,0.0231,81.67,1166.2,0,60.94,,0.0231,,81.67,,0
50,65.25,0.262,84.5,1972.26,0,65.25,,0.262,,84.5,,0
4,84.16,0.2693,73.36,1768.68,0,87.53999999999999,4.78004184082106,0.26365,0.00799030662740797,95.18,30.85813993098094,0
2,74.24,1.6833,55.05,848.51,0,86.475,21.415702183211273,0.782625,0.6616518186831097,105.535,37.54940700818945,1
6,62.56,0.4571,97.67,1751.58,0,62.56,,0.4571,,97.67,,0
54,83.83,0.5048,68.91,1388.14,0,83.83,,0.5048,,68.91,,0
4,85.0,0.6246,106.27,1335.99,0,86.69333333333333,3.6844176382887586,0.3839666666666666,0.20847115707774383,98.87666666666667,22.740018323065033,0
54,69.94,0.7349,119.69,1725.9,0,76.88499999999999,9.821713190681141,0.61985,0.16270527035102456,94.3,35.906882348652886,1
93,77.07,0.504,107.53,1457.08,0,61.144999999999996,22.521350980791535,0.261,0.3436538956566621,97.045,14.8280292014819,0
63,82.81,0.1354,100.88,1383.86,0,82.81,,0.1354,,100.88,,0
18,81.39,1.0359,69.18,1101.41,0,81.82,0.6081118318204255,0.55135,0.6852571816478833,76.81,10.790449480906709,1
90,75.61,0.6586,116.92,1774.67,0,77.155,2.1849599538664344,0.86365,0.28998449096460316,114.93,2.814284989122457,0
44,96.49,0.6771,138.93,1810.95,0,71.505,35.33412585589178,0.34975,0.4629428096428327,120.4,26.205377310773454,0
34,83.74,2.8357,128.17,1548.39,0,83.74,,2.8357,,128.17,,1
74,68.24,0.8111,73.39,1150.24,0,68.24,,0.8111,,73.39,,1
62,68.33,0.8835,98.44,1590.78,0,62.135,6.6954735953976146,0.591325,0.43116548543840255,105.7075,10.316224680893034,1
100,66.63,1.5121,94.35,1692.32,0,70.84,5.953839097590736,0.81375,0.987616041283251,88.91999999999999,7.67917964368591,1
14,84.48,0.0819,92.04,1492.04,0,80.305,5.904341622907673,0.08025,0.002333452377915605,81.58500000000001,14.78560279461071,0
95,65.66,0.3443,100.54,1764.47,0,65.66,,0.3443,,100.54,,0
48,68.63,0.4344,143.3,1550.86,0,68.63,,0.4344,,143.3,,0
15,90.87,0.1997,102.15,1591.23,0,87.25,4.819118176596212,1.2179666666666666,1.3651456564533082,93.87333333333333,11.061556551106781,0
72,77.87,0.9144,91.11,1944.14,0,73.515,6.158900064134834,0.71455,0.282630580440263,93.405,3.2456201256462553,1
78,92.98,0.7186,105.96,1352.45,0,71.565,30.28538343821984,0.99505,0.3909593393180421,120.745,20.90914751968622,1
87,86.97,0.6381,73.73,1029.58,0,71.61,21.72232031805074,0.8322,0.27449885245661776,85.52000000000001,16.673577900378795,0
62,57.35,2.9301,85.68,1449.29,0,61.178,6.1807175958783285,1.05908,1.1105860871629898,101.702,12.650633185734216,1
40,73.47,0.1501,119.72,1330.87,0,73.47,,0.1501,,119.72,,0
85,89.85,0.6649,103.77,1073.44,0,89.85,,0.6649,,103.77,,0
80,56.67,0.4008,142.03,1686.56,0,63.755,10.01970308941338,1.5082499999999999,1.566170809650084,135.5,9.234814562296313,0
82,81.3,0.1877,105.35,1500.25,0,81.3,,0.1877,,105.35,,0
53,74.41,0.0875,75.08,953.65,0,61.696666666666665,11.98309364618892,0.0931,0.07964778716323512,90.99333333333334,15.57203048203199,0
24,48.68,1.1311,68.3,1963.85,0,56.644999999999996,11.2642110243017,1.77125,0.9053088119531368,89.465,29.931830047626562,1
26,76.79,0.4525,120.03,1281.63,0,76.79,,0.4525,,120.03,,0
89,62.44,0.8713,79.17,1315.24,0,73.43666666666667,10.127340881659578,1.2828333333333335,1.4580295618859493,95.68333333333334,23.692820290825097,1
60,57.49,0.3941,77.38,1782.47,0,80.98400000000001,16.164628978111438,0.28592,0.1793882995069634,88.364,22.79836792404228,0
41,75.14,0.1242,89.7,1628.46,0,75.14,,0.1242,,89.7,,0
29,46.04,0.2059,119.93,1827.56,0,46.04,,0.2059,,119.93,,0
15,64.89,0.2403,92.65,846.0,0,81.66,11.852214982862906,0.97355,1.2171167309123094,93.5675,9.052411741261736,0
45,113.27,1.8048,83.17,1414.19,0,113.27,,1.8048,,83.17,,1
65,84.75,0.0028,124.25,1540.16,0,84.75,,0.0028,,124.25,,0
89,61.78,2.1226,120.84,1890.46,0,70.5225,10.116561915987075,1.492775,1.2623531528459062,101.9725,23.07482665156989,1
71,96.06,1.9677,133.34,1246.6,0,76.28,27.973144263739822,2.17225,0.28927738418341653,109.53,33.672424920103396,1
9,60.12,2.7799,127.03,1397.81,0,59.875,0.3464823227814047,2.0064,1.0938941904955888,120.74000000000001,8.895403307326761,1
88,66.69,0.3237,121.18,1542.24,0,78.21,10.891726217638782,0.2532666666666667,0.14509432564140246,96.75999999999999,24.246894646531548,0
1,57.77,1.6595,84.98,1728.42,0,57.77,,1.6595,,84.98,,1
8,78.84,0.2518,113.18,1167.21,0,82.53999999999999,5.2325901807804405,0.19265000000000002,0.08365073221436858,118.315,7.2619866427858355,0
88,95.53,0.0133,124.29,1743.49,0,82.53999999999999,12.412979765820403,0.193275,0.16861467660517176,103.6425,24.112579531577843,0
63,60.01,0.127,137.12,1322.97,0,71.41,16.122034611053284,0.13119999999999998,0.005939696961966983,119.0,25.625549750200488,0
11,44.09,1.4529,103.42,1612.6,0,44.09,,1.4529,,103.42,,1
81,91.36,0.0069,90.16,1442.1,0,80.74000000000001,15.01894803240226,0.2087,0.28538829688689055,92.13499999999999,2.79307178568686,0
8,98.31,0.3948,82.32,1582.49,0,87.79666666666667,9.827900759233039,0.26003333333333334,0.13084442415836195,106.31666666666666,21.406733364372375,0
35,45.07,0.0393,119.59,1563.63,0,54.525,13.371389232237611,0.169,0.18342349903979044,100.31,27.266037482553273,0
35,81.9,0.1687,86.67,1883.1,0,63.65,18.417217487992048,0.16890000000000002,0.12970011565145192,95.76333333333334,20.82630388074978,0
33,78.4,0.0461,102.14,1429.31,0,63.7,20.788939366884502,0.2304,0.26063955954536144,101.11,1.4566399692442895,0
5,63.19,0.9814,82.39,1409.29,0,63.19,,0.9814,,82.39,,1
41,54.08,0.4471,96.82,1820.52,0,64.61,14.891668811788692,0.28565,0.2283247796451362,93.25999999999999,5.034600282048217,0
28,89.88,1.1619,108.78,1920.09,0,89.88,,1.1619,,108.78,,1
